Status,Genres,Favorites,Popularity,Score,Chapters,Volumes,Ranked,link,Members,Authors,Serialization,Type,Published,name
 Finished,"['Romance', 'Shojo']", 15, #1297," 6.55, "," 1
	"," Unknown
	", #15207,http://myanimelist.net/manga/3764/A_Cat_That_Loved_a_Fish," 3,620","['Yoon, Mi-Kyng']",Wink, Manhwa, 2005,A Cat That Loved a Fish 
 Finished,"['Romance', 'Shojo']", 3, #2070," 6.87, "," 4
	"," 1
	", #11930,http://myanimelist.net/manga/14855/17-sai," 2,365","['Mikimoto, Rin']",Bessatsu Friend, Manga," Oct  12, 2007",17-sai 
 Publishing,"['Action', 'Sci-Fi', 'Shonen']", 28, #1693," 7.54, "," Unknown
	"," Unknown
	", #3443,http://myanimelist.net/manga/17931/-Hitogatana-," 2,843",['Onignso'],Comic Blade, Manga," Oct  10, 2009 to ?",-Hitogatana- 
 Finished,"['Comedy', 'Fantasy', 'Romance', 'Shojo']", 7, #5923," 6.40, "," Unknown
	"," 5
	", #16189,http://myanimelist.net/manga/3227/11th_Cat, 790,"['Mi-kyng, Kim']","
		None", Manhwa, 2002,11th Cat 
 Finished,"['Action', 'Adventre', 'Comedy', 'Ecchi', 'Fantasy', 'Mecha', 'Shonen']", 0, #4195," 7.16, "," 1
	"," Unknown
	", #8033,http://myanimelist.net/manga/48625/12_Beast," 1,200","['Ini, Takemar']",Dragon Age, One-shot," Jan  9, 2013",12 Beast 
 Finished,"
	  ", 0, #15035," 7.05, "," 8
	"," 2
	", #32838,http://myanimelist.net/manga/20810/-HOME-, 141,"['Sgihara, Machiko']",Ichiraci, Manga," 2009 to Aug  20, 2010",-HOME- 
 Finished,"['School', 'Yri', 'Spernatral']", 9, #4024," 5.78, "," 1
	"," Unknown
	", #17566,http://myanimelist.net/manga/9740/-rain-," 1,242","['Hashiba, Hayase']","
		None", One-shot, 2008 to ?,-rain- 
 Finished,"['Drama', 'Josei']", 0, #16600," 5.13, "," 6
	"," 1
	", #29887,http://myanimelist.net/manga/39585/12, 107,"['Yamagata, Satomi']",Feel Young, Manga," Jun  8, 2011",12 
 Finished,"
	  ", 0, #3965," 6.25, "," 1
	"," Unknown
	", #16836,http://myanimelist.net/manga/28208/-SINS-," 1,260","['Mira, Masataka']",Shounen Jump (Weekly), One-shot," Jul  25, 2011",-SINS- 
 Finished,"['Romance', 'School', 'Josei']", 4, #2996," 6.34, "," 5
	"," 1
	", #16498,http://myanimelist.net/manga/1144/...Curtain.:_Sensei_to_Kiyoraka_ni_Dousei," 1,665","['Miztani, Kyoko']",Petit Comic, Manga," Oct  26, 2006",...Curtain.: Sensei to Kiyoraka ni Dousei 
 Finished,"['Action', 'Ecchi', 'Fantasy', 'Magic', 'Romance', 'Shonen', 'Harem', 'Spernatral']", 21, #2217," 6.78, "," 12
	"," 3
	", #13015,http://myanimelist.net/manga/19745/11eyes:_Tsumi_to_Batsu_to_Aganai_no_Shoujo," 2,232","['Ayano, Naoto']",Comp Ace, Manga," Aug  26, 2009 to Sep  25, 2010",11eyes: Tsumi to Batsu to Aganai no Shoujo 
 Publishing,"['Action', 'Adventre', 'Comedy', 'Fantasy', 'Mecha', 'Shonen']", 16, #1893," 7.50, "," Unknown
	"," Unknown
	", #3805,http://myanimelist.net/manga/51315/12_Beast," 2,570","['Ini, Takemar']",Age Premium, Manga," May  9, 2013 to ?",12 Beast 
 Finished,"
	  ", 11, #7533," 7.34, "," 7
	"," 1
	", #5667,http://myanimelist.net/manga/7579/B-Chiku, 571,['DISTANCE'],Comic Megastore H, Manga," Apr  19, 2008",B-Chiku 
 Finished,"['Fantasy', 'Shojo', 'Spernatral']", 0, #18347," 6.32, "," 1
	"," Unknown
	", #16565,http://myanimelist.net/manga/43663/B-Curse, 80,"['Peco, Morishima']",Altima Ace, One-shot, 2011,B-Curse 
 Finished,"['Action', 'Adventre', 'Comedy', 'Fantasy']", 0, #18879," 7.25, "," 48
	"," 8
	", #6825,http://myanimelist.net/manga/20087/B-Densetsu!_Battle_B-Daman, 74,"['Inki, Eiji']",Coro Coro Comic, Manga, Apr 2002 to Nov 2005,B-Densetsu! Battle B-Daman 
 Finished,"['Slice of Life', 'Josei']", 0, #31939," 0.00, "," Unknown
	"," 1
	", #19732,http://myanimelist.net/manga/87126/9-nenme_no_Mibyou_Seikatsu:_Fuchou_na_Watashi_no_Self-maintenance-jutsu, 12,"['Aoki, Mitse']","
		None", Manga, 2011 to 2013,9-nenme no Mibyou Seikatsu: Fuchou na Watashi no Self-maintenance-jutsu 
 Finished,"
	  ", 11, #1350," 7.46, "," 3
	"," 1
	", #4297,http://myanimelist.net/manga/7966/99_Cacao," 3,514","['Yoshioka, Ririko', 'Sato, Takako']",Bessatsu Friend, Manga, 2007,99% Cacao 
 Finished,"['Comedy', 'Romance', 'Shojo']", 25, #821," 7.12, "," 1
	"," Unknown
	", #8683,http://myanimelist.net/manga/5259/99_Love," 5,293","['Tswabki, An']",Ribon Bikkuri, One-shot," Apr  18, 2007",99% Love 
 Publishing,"['Comedy', 'Demons', 'Seinen']", 0, #19771," 6.00, "," Unknown
	"," Unknown
	", #31165,http://myanimelist.net/manga/27901/99s_Amanojaku, 64,"['Kobayashi, Tetsya']",Manga Time Kirara Forward, Manga," Dec  24, 2010 to ?",99's Amanojaku 
 Finished,"['Comedy', 'Drama', 'Ecchi', 'Romance', 'Seinen']", 0, #20442," 6.14, "," Unknown
	"," 3
	", #31605,http://myanimelist.net/manga/25036/99:_Ninetynine, 58,"['Toshinori, Sogabe']",Comic Gum, Manga," Oct  26, 2009 to Jan  26, 2011",99: Ninetynine 
 Publishing,"['Action', 'Shonen', 'Sper Power']", 0, #34263," 0.00, "," Unknown
	"," Unknown
	", #17934,http://myanimelist.net/manga/90284/K:_Dog_&_Cat, 8,"['GoRA', 'Frhashi, Hideyki', 'Kimra, Rin']",GFantasy, Manga," May  18, 2015 to ?",K: Dog & Cat 
 Publishing,"['Spernatral', 'Josei']", 2, #9864," 7.77, "," Unknown
	"," Unknown
	", #1808,http://myanimelist.net/manga/73451/K:_Lost_Small_World, 366,"['GoRA', 'Ookita, Yor']",Hatsu Kiss, Manga," Jun  13, 2014 to ?",K: Lost Small World 
 Publishing,"['Action', 'Martial Arts', 'Shojo', 'Spernatral']", 2, #10337," 8.05, "," Unknown
	"," Unknown
	", #830,http://myanimelist.net/manga/82091/K:_Countdown, 336,"['Kroe, Yi', 'GoRA']",ARIA, Manga," Dec  27, 2014 to ?",K: Countdown 
 Finished,"['Action', 'Martial Arts', 'Shojo', 'Spernatral']", 33, #3069," 7.88, "," 10
	"," 2
	", #1323,http://myanimelist.net/manga/59675/K:_Days_of_Blue," 1,624","['Kroe, Yi', 'GoRA']",ARIA, Manga," Oct  28, 2013 to Jul  28, 2014",K: Days of Blue 
 Finished,"
	  ", 6, #8887," 7.81, "," 9
	"," 1
	", #1613,http://myanimelist.net/manga/69399/K:_Lost_Small_World, 442,"['Kabei, Ykako', 'Szki, Shingo']","
		None", Novel," Apr  1, 2014",K: Lost Small World 
 Finished,"['Romance', 'School', 'Shojo']", 1, #4606," 6.81, "," Unknown
	"," 7
	", #12674,http://myanimelist.net/manga/4679/Ga-ma-n_Dekinai%E2%99%A5," 1,080","['Shigano, Iori']",Sho-Comi, Manga," Mar  5, 2001 to Nov  5, 2002",Ga-ma-n Dekinai♥ 
 Finished,"['Action', 'Comedy', 'Demons', 'Ecchi', 'Martial Arts', 'School', 'Spernatral']", 938, #127," 7.87, "," 52
	"," 12
	", #1395,http://myanimelist.net/manga/1102/Ga-Rei," 20,609","['Segawa, Hajime']",Shounen Ace, Manga," Oct  26, 2005 to Jan  26, 2010",Ga-Rei 
 Publishing,"['Action', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']", 0, #27556," 8.00, "," Unknown
	"," Unknown
	", #27346,http://myanimelist.net/manga/58645/Fairy_Field_-_Yousei_Senjin, 22,"['Sakaki, Ichiro', 'BLADE']","
		None", Novel," Nov  20, 2012 to ?",Fairy Field - Yousei Senjin 
 Finished,"['Action', 'Comedy', 'Romance', 'Shonen', 'Spernatral']", 19, #1488," 7.31, "," 4
	"," 1
	", #6043,http://myanimelist.net/manga/12124/Ga-Rei:_Tsuina_no_Shou," 3,224","['Segawa, Hajime']",Ace Assault, Manga," Jul  10, 2007 to Jun  10, 2008",Ga-Rei: Tsuina no Shou 
 Finished,"['Comedy', 'Historical', 'Slice of Life', 'Seinen']", 1, #17268," 7.97, "," Unknown
	"," 11
	", #1045,http://myanimelist.net/manga/19709/Gabai_-_Saga_no_Gabai_Baachan, 96,"['Shimada, Yoshichi', 'Ishikawa, Sabro']",Business Jump, Manga, 2005 to Apr 2010,Gabai - Saga no Gabai Baachan 
